xflr5 v6.58

Plane name :        Windtunnel 3D
Polar name :        T1-50.0 m/s-LLT
Free-stream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   13.600     0.000   0.951419   0.057232   0.019128   0.076360   0.000000  -0.000000  -0.220913   0.000000   0.000000   50.0000     0.0525
   13.700     0.000   0.955827   0.057759   0.019417   0.077177   0.000000  -0.000000  -0.221533   0.000000   0.000000   50.0000     0.0523
   13.800     0.000   0.960324   0.058356   0.019697   0.078053   0.000000  -0.000000  -0.222266   0.000000   0.000000   50.0000     0.0522
   13.900     0.000   0.964914   0.058957   0.019984   0.078941   0.000000  -0.000000  -0.223053   0.000000   0.000000   50.0000     0.0521
   14.000     0.000   0.969433   0.059553   0.020285   0.079838   0.000000  -0.000000  -0.223829   0.000000   0.000000   50.0000     0.0520
   14.100     0.000   0.973848   0.060144   0.020598   0.080743   0.000000  -0.000000  -0.224581   0.000000   0.000000   50.0000     0.0519
   14.200     0.000   0.978146   0.060728   0.020929   0.081657   0.000000  -0.000000  -0.225305   0.000000   0.000000   50.0000     0.0518
   14.300     0.000   0.982297   0.061301   0.021280   0.082581   0.000000  -0.000000  -0.225990   0.000000   0.000000   50.0000     0.0517
   14.400     0.000   0.986254   0.061865   0.021655   0.083519   0.000000  -0.000000  -0.226628   0.000000   0.000000   50.0000     0.0517
   14.500     0.000   0.990053   0.062416   0.022054   0.084470   0.000000  -0.000000  -0.227225  -0.000000  -0.000000   50.0000     0.0516
   14.600     0.000   0.993872   0.062968   0.022460   0.085428   0.000000   0.000000  -0.227839   0.000000  -0.000000   50.0000     0.0515
   14.700     0.000   0.997827   0.063532   0.022858   0.086391   0.000000  -0.000000  -0.228518   0.000000   0.000000   50.0000     0.0514
   14.800     0.000   1.001783   0.064091   0.023258   0.087349   0.000000  -0.000000  -0.229197  -0.000000  -0.000000   50.0000     0.0513
